Connector,Pin,HSMC+ok,FPGA Pin,FPGA Pin Description,I/O Bank,LVDS Term RefDes,Power,Ground,I/O Power,FPGA I/O,LVDS I/O,LVDS I,LVDS O,FPGA Clk Out,FPGA Clk In,JTAG,Comments,Design Net,IO Standard,User Comment
J2,177,D78 / CLKOUT2n,K22,R16n,6,,,,,true,true,,,,,,,,,
J2,178,D79 / CLKIN2n,J17,IO,6,R89,,,,true,,true,,,,,"See UM for CLKIN jumper selection. Move R113 to R115 for FPGA pin AB12 (CLK12, DIFFCLK_7n) in Bank 4. See PCB revision notes in UM.",,,
J2,179,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J2,180,PRSNTn,,,,,,,,,,,,,,,Present Detect,GND,,
J1,0,DGND,,,,,,true,,,,,,,,,,GND,,
J1,1,,,,,,,,,,,,,,,,,,,
J1,2,,,,,,,,,,,,,,,,,,,
J1,3,,,,,,,,,,,,,,,,,,,
J1,4,,,,,,,,,,,,,,,,,,,
J1,5,+VCCIO2,,,,,,,VCCIO,,,,,,,,,,,
J1,6,+1.2VDD,,,,,+1.2VDD,,,,,,,,,,,,,
J1,7,,,,,,,,,,,,,,,,,,,
J1,8,,,,,,,,,,,,,,,,,,,
J1,9,,,,,,,,,,,,,,,,,,,
J1,10,,,,,,,,,,,,,,,,,,,
J1,11,+VCCIO3,,,,,,,VCCIO,,,,,,,,,,,
J1,12,+1.8VDD,,,,,+1.8VDD,,,,,,,,,,,1V8dig,,
J1,13,,,,,,,,,,,,,,,,,,,
J1,14,,,,,,,,,,,,,,,,,,,
J1,15,,,,,,,,,,,,,,,,,,,
J1,16,,,,,,,,,,,,,,,,,,,
J1,17,VREF_BANK2,,,,,,,VREF,,,,,,,,,,,
J1,18,+X_HSMC_VCCIO,,,,,,,VCCIO,,,,,,,,,,,
J1,19,,,,,,,,,,,,,,,,,,,
J1,20,,,,,,,,,,,,,,,,,,,
J1,21,,,,,,,,,,,,,,,,,,,
J1,22,,,,,,,,,,,,,,,,,,,
J1,23,VREF_BANK3,,,,,,,VREF,,,,,,,,,,,
J1,24,X_HSMC_VS0,,,,,,,,,,,,,,,,,,
J1,25,,,,,,,,,,,,,,,,,,,
J1,26,,,,,,,,,,,,,,,,,,,
J1,27,,,,,,,,,,,,,,,,,,,
J1,28,,,,,,,,,,,,,,,,,,,
J1,29,BANK1_CLK,G1,"CLK1, DIFFCLK_0n",1,,,,,,,,,,true,,,,,
J1,30,X_HSMC_VS1,,,,,,,,,,,,,,,,,,
J1,31,,,,,,,,,,,,,,,,,,,
J1,32,,,,,,,,,,,,,,,,,,,
J1,33,,,,,,,,,,,,,,,,,,,
J1,34,,,,,,,,,,,,,,,,,,,
J1,35,BANK8_CLK,B11,"CLK11, DIFFCLK_4p",8,,,,,,,,,,true,,,EXT_CLK,2.5 V,
J1,36,X_HSMC_VS2,,,,,,,,,,,,,,,,,,
J1,37,,,,,,,,,,,,,,,,,,,
J1,38,,,,,,,,,,,,,,,,,,,
J1,39,,,,,,,,,,,,,,,,,,,
J1,40,,,,,,,,,,,,,,,,,,,
J1,41,,,,,,,,,,,,,,,,,,,
J1,42,JP3_JTAG_TDI,,,,,,,,,,,,,,TRUE,,JTAG_TDI,,
J1,43,PLL1_CLKOUTp,AA3,"IO, PLL1_CLKOUTp",3,,,,,true,,,true,true,,,,ADC_CLK,LVDS,
J1,44,,,,,,,,,,,,,,,,,,,
J1,45,PLL1_CLKOUTn,AB3,"IO, PLL1_CLKOUTn",3,,,,,true,,,true,true,,,,ADC_CLK(n),LVDS,
J1,46,,,,,,,,,,,,,,,,,,,
J1,47,,,,,,,,,,,,,,,,,,,
J1,48,JP3_JTAG_TDO,,,,,,,,,,,,,,TRUE,,JTAG_TDO,,
J1,49,HSMC_SDA,W8,IO,3,,,,,true,,,,,,,,,,
J1,50,HSMC_SCL,U10,B16n,3,,,,,true,,,,,,,,,,
J1,51,JTAG_TCK,,,,,,,,,,,,,,TRUE,,,,
J1,52,JTAG_TMC,,,,,,,,,,,,,,TRUE,,,,
J1,53,,,,,,,,,,,,,,,,,,,
J1,54,JP3_JTAG_TMS,,,,,,,,,,,,,,TRUE,,JTAG_TMS,,
J1,55,JTAG_TDO,,,,,,,,,,,,,,TRUE,,,,
J1,56,JTAG_TDI,,,,,,,,,,,,,,TRUE,,,,
J1,57,CLKOUT0,V10,B15p,3,,,,,true,,,,true,,,,,,
J1,58,CLKIN0,T21,"CLK6, DIFFCLK_3p",5,,,,,true,,,,,true,,,,,
J1,59,OVP_FLAG,,,,,,,,,,,,,,,,,,
J1,60,JP3_JTAG_TCK,,,,,,,,,,,,,,TRUE,,JTAG_TCK,,
J1,61,D0,U9,B8p,3,,,,,true,,,,,,,,,,
J1,62,D1,V8,B8n,3,,,,,true,,,,,,,,,,
J1,63,D2,Y3,B3n,3,,,,,true,,,,,,,,,,
J1,64,D3,Y6,IO,3,,,,,true,,,,,,,,,,
J1,65,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,66,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,67,D4 / LVDS_TXp0,L6,L16p,2,,,,,true,true,,,,,,,3D+D,LVDS,
J1,68,D5 / LVDS_RXp0,V6,B1p,3,R23,,,,true,true,,,,,,,2DCO+,LVDS,
J1,69,D6 / LVDS_TXn0,M6,L16n,2,,,,,true,true,,,,,,,3D-D,LVDS,
J1,70,D7 / LVDS_RXn0,V5,B1n,3,R23,,,,true,true,,,,,,,2DCO-,LVDS,
J1,71,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,72,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,73,D8 / LVDS_TXp1,M2,L17p,2,,,,,true,true,,,,,,,3D+C,LVDS,
J1,74,D9 / LVDS_RXp1,U7,B2p,3,R49,,,,true,true,,,,,,,2FCO+,LVDS,
J1,75,D10 / LVDS_TXn1,M1,L17n,2,,,,,true,true,,,,,,,3D-C,LVDS,
J1,76,D11 / LVDS_RXn1,U8,B2n,3,R49,,,,true,true,,,,,,,2FCO-,LVDS,
J1,77,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,78,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,79,D12 / LVDS_TXp2,M4,L18p,2,,,,,true,true,,,,,,,3D+B,LVDS,
J1,80,D13 / LVDS_RXp2,W6,B4p,3,R54,,,,true,true,,,,,,,2D+A,LVDS,
J1,81,D14 / LVDS_TXn2,M3,L18n,2,,,,,true,true,,,,,,,3D-B,LVDS,
J1,82,D15 / LVDS_RXn2,V7,B4n,3,R54,,,,true,true,,,,,,,2D-A,LVDS,
J1,83,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,84,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,85,D16 / LVDS_TXp3,N2,L19p,2,,,,,true,true,,,,,,,3D+A,LVDS,
J1,86,D17 / LVDS_RXp3,AA5,B5p,3,R55,,,,true,true,,,,,,,2D+B,LVDS,
J1,87,D18 / LVDS_TXn3,N1,L19n,2,,,,,true,true,,,,,,,3D-A,LVDS,
J1,88,D19 / LVDS_RXn3,AA6,B5n,3,R55,,,,true,true,,,,,,,2D-B,LVDS,
J1,89,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,90,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,91,D20 / LVDS_TXp4,P2,L20p,2,,,,,true,true,,,,,,,3FCO+,LVDS,
J1,92,D21 / LVDS_RXp4,AB6,B6p,3,R56,,,,true,true,,,,,,,2D+C,LVDS,
J1,93,D22 / LVDS_TXn4,P1,L20n,2,,,,,true,true,,,,,,,3FCO-,LVDS,
J1,94,D23 / LVDS_RXn4,AB5,B6n,3,R56,,,,true,true,,,,,,,2D-C,LVDS,
J1,95,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,96,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,97,D24 / LVDS_TXp5,R2,L21p,2,,,,,true,true,,,,,,,3DCO+,LVDS,
J1,98,D25 / LVDS_RXp5,W7,B7p,3,R57,,,,true,true,,,,,,,2D+D,LVDS,
J1,99,D26 / LVDS_TXn5,R1,L21n,2,,,,,true,true,,,,,,,3DCO-,LVDS,
J1,100,D27 / LVDS_RXn5,Y7,B7n,3,R57,,,,true,true,,,,,,,2D-D,LVDS,
J1,101,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,102,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,103,D28 / LVDS_TXp6,P4,L23p,2,,,,,true,true,,,,,,,4D+D,LVDS,
J1,104,D29 / LVDS_RXp6,AA7,B10p,3,R58,,,,true,true,,,,,,,1DCO+,LVDS,
J1,105,D30 / LVDS_TXn6,P3,L23n,2,,,,,true,true,,,,,,,4D-D,LVDS,
J1,106,D31 / LVDS_RXn6,AB7,B10n,3,R58,,,,true,true,,,,,,,1DCO-,LVDS,
J1,107,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,108,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,109,D32 / LVDS_TXp7,U2,L24p,2,,,,,true,true,,,,,,,4D+C,LVDS,
J1,110,D33 / LVDS_RXp7,AA8,B17p,3,R59,,,,true,true,,,,,,,1FCO+,LVDS,
J1,111,D34 / LVDS_TXn7,U1,L24n,2,,,,,true,true,,,,,,,4D-C,LVDS,
J1,112,D35 / LVDS_RXn7,AB8,B17n,3,R59,,,,true,true,,,,,,,1FCO-,LVDS,
J1,113,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,114,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,115,D36 / CLKOUT1p,R19,R26p,5,,,,,true,true,,,,,,,,,
J1,116,D37 / CLKIN1p,AA1,L31n,2,R69,,,,true,,true,,,,,"See UM for CLKIN jumper selection. Move R104 to R102 for FPGA pin AA11 (CLK15, DIFFCLK_6p) in Bank 3. See PCB revision notes in UM.",,,
J1,117,D38 / CLKOUT1n,R18,R26n,5,,,,,true,true,,,,,,,,,
J1,118,D39 / CLKIN1n,Y8,B11p,3,R69,,,,true,,true,,,,,"See UM for CLKIN jumper selection. Move R106 to R108 for FPGA pin AB11 (CLK14, DIFFCLK_6n) in Bank 3. See PCB revision notes in UM.",,,
J1,119,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,120,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,121,D40 / LVDS_TXp8,V2,L25p,2,,,,,true,true,,,,,,,4D+B,LVDS,
J1,122,D41 / LVDS_RXp8,T10,B13p,3,R60,,,,true,true,,,,,,,1D+A,LVDS,
J1,123,D42 / LVDS_TXn8,V1,L25n,2,,,,,true,true,,,,,,,4D-B,LVDS,
J1,124,D43 / LVDS_RXn8,T11,B13n,3,R60,,,,true,true,,,,,,,1D-A,LVDS,
J1,125,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,126,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,127,D44 / LVDS_TXp9,R4,L27p,2,,,,,true,true,,,,,,,4D+A,LVDS,
J1,128,D45 / LVDS_RXp9,AA9,B18p,3,R61,,,,true,true,,,,,,,1D+B,LVDS,
J1,129,D46 / LVDS_TXn9,R3,L27n,2,,,,,true,true,,,,,,,4D-A,LVDS,
J1,130,D47 / LVDS_RXn9,AB9,B19n,3,R61,,,,true,true,,,,,,,1D-B,LVDS,
J1,131,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,132,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,133,D48 / LVDS_TXp10,W2,L28p,2,,,,,true,true,,,,,,,4FCO+,LVDS,
J1,134,D49 / LVDS_RXp10,W10,B20p,3,R62,,,,true,true,,,,,,,1D+C,LVDS,
